0|0.25,0|0.5,0|1,1|0.25,1|0.5,1|1,2|0.25,2|0.5,2|1,3|0.25,3|0.5,3|1,4|0.25,4|0.5,4|1,5|0.25,5|0.5,5|1,6|0.25,6|0.5,6|1,7|0.25,7|0.5,7|1,8|0.25,8|0.5,8|1,9|0.25,9|0.5,9|1,10|0.25,10|0.5,10|1,11|0.25,11|0.5,11|1
0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
0,0.351852,0.0185185,0,0.222222,0,0,0,0,0,0.00925926,0,0,0.00925926,0,0,0,0,0,0.0185185,0,0,0.0555556,0.0185185,0,0.287037,0,0,0.00925926,0,0,0,0,0,0,0
0,0.0769231,0,0,0.0769231,0,0,0,0,0,0,0,0,0,0.0384615,0,0,0,0,0,0,0,0,0.0769231,0,0.0769231,0.576923,0,0.0769231,0,0,0,0,0,0,0
0.333333,0,0.333333,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0134228,0.0671141,0.0134228,0,0,0,0,0,0,0.00671141,0.194631,0,0,0.0134228,0,0,0,0,0,0.00671141,0,0,0,0,0,0.409396,0.0939597,0,0.0805369,0,0,0.0805369,0.0201342,0,0,0
0,0,0,0,0,0.104478,0,0,0,0,0.134328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238806,0.358209,0,0,0.0746269,0,0,0.0895522,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615,0.153846,0,0,0,0,0.461538,0
0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0.5
0,0,0,0.222222,0.111111,0,0,0,0,0.222222,0.222222,0,0.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.256757,0,0,0.135135,0.0540541,0,0,0,0.00675676,0.0337838,0,0,0.148649,0.0135135,0,0,0,0,0.00675676,0.0135135,0,0,0,0,0.324324,0.00675676,0,0,0,0,0,0,0,0,0
0,0,0.515152,0,0,0,0,0,0,0.030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0714286,0,0,0.47619,0.428571,0,0,0,0,0,0.0238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00613497,0,0,0.300613,0,0,0,0,0.00613497,0.0981595,0,0.116564,0.0858896,0,0,0,0,0,0.0122699,0.0122699,0,0,0,0,0.128834,0,0,0.0736196,0,0,0,0,0,0.159509,0
0,0,0,0,0,0.625,0,0,0,0,0,0,0,0.075,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0333333,0,0,0.466667,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0
0,0,0,0,0,0.428571,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
0,0.0606061,0,0,0,0,0,0.181818,0,0,0.0909091,0,0,0.030303,0,0,0,0,0.030303,0.0909091,0.030303,0,0,0,0,0.272727,0.030303,0,0,0,0,0,0,0,0.181818,0
0,0,0,0,0,0,0,0,0.307692,0,0.0769231,0.0769231,0,0.0769231,0,0,0,0,0,0.0769231,0,0,0,0,0,0,0.0769231,0,0,0,0,0,0,0,0,0.307692
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0414938,0.00414938,0,0.161826,0,0,0,0,0,0.315353,0,0,0.244813,0,0,0.00829876,0,0,0.0456432,0,0,0,0,0,0.124481,0.0539419,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.21978,0,0,0,0,0,0.32967,0,0.021978,0.241758,0,0,0,0,0,0.010989,0,0,0,0,0.142857,0.032967,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0.545455,0,0,0.0909091,0,0,0,0,0,0,0,0,0.0227273,0.0227273,0,0.159091,0.0681818,0,0,0,0,0,0
0,0.0526316,0,0,0,0,0,0,0.105263,0,0,0,0,0,0.526316,0,0,0.105263,0,0,0,0,0,0,0,0,0,0,0.210526,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0.0277778,0.0555556,0,0.166667,0.0833333,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.421053,0,0,0,0,0,0.210526,0.0789474,0,0.0263158,0,0,0.210526,0.0526316,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769,0,0,0,0,0.230769,0.307692,0,0.0769231,0,0,0.153846,0,0,0,0,0,0,0,0,0,0
